Search Name,Region,Found Name,Website
108 Medical Ltd,London & South East,None,None
15 Healthcare Ltd,London & South East,None,None
18A Charing Cross Dental Surgery,London & South East,None,None
20-20 Opticians Ltd.,Scotland & Northern Ireland,None,None
2gether NHS Foundation Trust,Wales & South West,None,None
3AB CARE LIMITED,Wales & South West,3AB Care Limited,3abcare.co.uk
4 Ways Healthcare Ltd,Midlands & East of England,None,None
40 Harley Street Group Practice,London & South East,None,None
5 Boroughs Partnership NHS Trust,North West,None,None
786 Magan Care Homes Private Limited,Wales & South West,None,None
92 Higher Drive Ltd T/A Highfield House,London & South East,None,None
A & I Care Homes Ltd T/a The Meadows Residential Care Home,London & South East,Adobe,adobe.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,London & South East,Airbnb,airbnb.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,London & South East,ADP,adp.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,London & South East,AOL,aol.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,London & South East,AT&T,att.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Midlands & East of England,Adobe,adobe.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Midlands & East of England,Airbnb,airbnb.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Midlands & East of England,ADP,adp.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Midlands & East of England,AOL,aol.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Midlands & East of England,AT&T,att.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,"North East, Yorkshire & the Humber",Adobe,adobe.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,"North East, Yorkshire & the Humber",Airbnb,airbnb.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,"North East, Yorkshire & the Humber",ADP,adp.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,"North East, Yorkshire & the Humber",AOL,aol.com
A & I Care Homes Ltd T/a The Meadows Residential Care Home,"North East, Yorkshire & the Humber",AT&T,att.com
A Peluso t/a Stratford House Dental Practice,London & South East,None,None
A S Lupin & Assocs Ltd,London & South East,None,None
A V ATKINSON LIMITED,London & South East,None,None
A Woodlands House,London & South East,None,None
A1 Chiro LTD,Scotland & Northern Ireland,None,None
Aarjay Heathcare Limited,Midlands & East of England,None,None
Abbey Chase Residential/NursingHome,London & South East,None,None
Abbey Court Nursing Home,London & South East,None,None
Abbey Grange Residential Care Home,Midlands & East of England,None,None
Abbey Health Care Homes Ltd,London & South East,None,None
Abbey House Uk Ltd,Midlands & East of England,None,None
Abbey Total Care Group Ltd,London & South East,None,None
Abbeyfield Ilkley Society Ltd,"North East, Yorkshire & the Humber",None,None
Abbotsford care,Scotland & Northern Ireland,None,None
Abbotsford Nursing Home,London & South East,None,None
Abbott Diabetes Care UK Limited,London & South East,None,None
Abercorn Care Limited,Scotland & Northern Ireland,None,None
Abermad Nursing Home Limited,Wales & South West,None,None
Abermed Limited,Scotland & Northern Ireland,None,None
Abertawe Bro Morgannwg University Local Health Board,Wales & South West,None,None
Abingdon Court Care Home,London & South East,None,None
Abingdon Medical Practice,London & South East,None,None
ABM GROUPER LTD,London & South East,None,None
Abney Dental Practice,London & South East,None,None
Absolute Care (Scotland) Ltd.,Scotland & Northern Ireland,None,None
Absolute Care Homes ( central ) Ltd,Midlands & East of England,None,None
Abundante Vida Church,Wales & South West,None,None
AccuNostics Ltd,Scotland & Northern Ireland,None,None
ACL Care Homes Ltd,London & South East,None,None
Acorn Fostering Services Ltd,Midlands & East of England,None,None
Acorn Health Care Limited,London & South East,None,None
Acorn Lodge (bournemouth) LTD,Wales & South West,None,None
Acorn Lodge Care Home,London & South East,None,None
Action Aid,London & South East,ActionAid,actionaid.org
Action Aid,London & South East,ActionAid UK,actionaid.org.uk
Action Aid,London & South East,ActionAid Italia,actionaid.it
Action Aid,London & South East,ActionAid India,actionaidindia.org
Action Aid,London & South East,ActionAid Hellas,actionaid.gr
Action for Children,London & South East,Action for Children,actionforchildren.org.uk
Action for Children,London & South East,Action for Children,gweithredudrosblant.org.uk
Action for Children,London & South East,Action for Children,actionforchildren.org
Action for Children,London & South East,Action for Children's Arts,childrensarts.org.uk
Active Care,Scotland & Northern Ireland,Active Care,edmondchiro.com
Active Care,Scotland & Northern Ireland,Active Care Atlanta,activecareatlanta.com
Active Care,Scotland & Northern Ireland,Active Care,activecaremt.com
Active Care,Scotland & Northern Ireland,Active Care Chiro,activecarechiro.co.uk
Active Care,Scotland & Northern Ireland,Active Care Chiropractic,activecarewilm.com
Adalah Residential Care Home Ltd,Midlands & East of England,None,None
Adderley Nursing Home,Midlands & East of England,None,None
Adelaide care limited,London & South East,None,None
Adelaide Lodge Care Home LLP,Wales & South West,None,None
Adelaide Nursing Home Ltd,London & South East,None,None
Adichis Healthcare Ltd,Midlands & East of England,None,None
Adiemus Care Limited,London & South East,None,None
Admiral Health Care Ltd,London & South East,None,None
ADP Dental Company Limited,North West,None,None
ADVENT ESTATES LTD,Midlands & East of England,None,None
AeroScout (U.K.) Ltd,London & South East,None,None
AETNA Global Benefits (Europe) Limited,London & South East,None,None
AFRICAN AND MEDICAL RESEARCH FUNDATION (UNITED KINGDOM),London & South East,None,None
African Caribbean Care Group,North West,None,None
Africans Unite Against Child Abuse,London & South East,None,None
Aga Khan Foundation (United Kingdom),London & South East,None,None
Age UK,London & South East,Age UK,ageuk.org.uk
Age UK,London & South East,Age UK,opencharities.org
Age UK,London & South East,Age UK,ageukmobility.co.uk
Age UK,London & South East,Age UK,ageukblog.org.uk
Age UK,London & South East,Age UK Cornwall,ageukcornwall.org.uk
Agincare Homes Holdings Ltd,Wales & South West,None,None
Agnivesh Ayurveda Health Ltd,Midlands & East of England,None,None
AGS & Mrs P Powell-Main Dental Surgeons,Wales & South West,AGSAT.COM.UA,agsat.com.ua
AGS & Mrs P Powell-Main Dental Surgeons,Wales & South West,AGS,gsaz.az
AGS & Mrs P Powell-Main Dental Surgeons,Wales & South West,AGS Golf Vacations,agsgolfvacations.com
AGS & Mrs P Powell-Main Dental Surgeons,Wales & South West,AGS Cinemas,agscinemas.com
AGS & Mrs P Powell-Main Dental Surgeons,Wales & South West,Auditor-General SA,agsa.co.za
Ailsa House Residential Care Home,Midlands & East of England,None,None
Aims Care Partnership,London & South East,Aimscare Partnership,aimscare.co.uk
Aintree University Hospitals NHS Foundation Trust,North West,None,None
Airedale NHS Trust,"North East, Yorkshire & the Humber",None,None
Airedale Nursing Home,London & South East,None,None
Airthrie Homes,London & South East,Airthrie Homes,airthriehomes.co.uk
AJ Social Care Recruitment Limited,"North East, Yorkshire & the Humber",None,None
AJM MANSELL LTD,London & South East,None,None
AK Pritchard & Associates,London & South East,None,None
AKAM CARE LIMITED (Business Address),Scotland & Northern Ireland,None,None
Akari Care Ltd,Midlands & East of England,None,None
Aksam Limited,London & South East,None,None
AL BIRR FOUNDATION UK,London & South East,None,None
alban quality care ltd,Wales & South West,None,None
Alchemy Dental Practice Ltd,North West,None,None
Alcon Laboratories (UK) Ltd,Midlands & East of England,None,None
Alder Hey Childrens NHS Foundation Trust,North West,None,None
Alexander House,London & South East,Alexander House Financial Services,alexanderhousefs.co.uk
Alexander House,London & South East,Alexander House,a-house.ru
Alexander House,London & South East,"Alexander House, Auchterarder, PH3 1PW",alexanderhousescotland.com
Alexander House,London & South East,Alexander House Associates,alexanderhouseassociates.com
Alexander House,London & South East,Alexander House Financial Planning,alexanderhousefp.co.uk
Alexander Park Homes LTD,London & South East,None,None
Alexandra House Care Services,Midlands & East of England,None,None
Alimera Sciences Limited,London & South East,None,None
Alison Brett Dental Care LLP,"North East, Yorkshire & the Humber",None,None
All Hallows Healthcare Trust,Midlands & East of England,None,None
Allenbrook Care Ltd,Wales & South West,None,None
Allergan Limited,London & South East,None,None
Alliance Medical Limited,Midlands & East of England,None,None
Allied Care Ltd & Associated Group of Companies,London & South East,None,None
Alpenbest Limited,London & South East,None,None
Alpha Care (Caterham) Ltd,London & South East,None,None
Alpha Care Castlemaine Ltd,London & South East,None,None
